enrollee_id,education_level,major_discipline,university_id
8695,Graduate,STEM,1156
6172,Graduate,STEM,1595
14672,Masters,STEM,1004
18257,Graduate,STEM,1998
24493,Graduate,STEM,1483
1180,Graduate,STEM,1063
28627,Graduate,STEM,1326
8168,Masters,STEM,1931
10473,Graduate,STEM,1234
25349,Graduate,STEM,1320
5220,Graduate,Other,1536
4789,Graduate,STEM,1375
11338,Graduate,STEM,1618
27963,Graduate,STEM,1884
8571,Graduate,STEM,1432
16303,Masters,STEM,1971
20576,Graduate,STEM,1458
32966,Graduate,STEM,1828
21199,Graduate,STEM,1052
18819,Graduate,STEM,1720
14199,Graduate,Business Degree,1089
7666,Graduate,STEM,1449
13915,Phd,STEM,1881
10555,Graduate,STEM,1069
16040,Graduate,STEM,1322
32826,Masters,STEM,1020
13253,Graduate,STEM,1950
15637,Graduate,Humanities,1957
28074,Graduate,STEM,1730
23012,Masters,STEM,1432
16110,Graduate,STEM,1058
3921,Phd,STEM,1868
24530,Graduate,STEM,1043
1924,Masters,STEM,1880
32776,Graduate,STEM,1149
1907,High School,,1199
23947,Phd,STEM,1746
3116,,,1204
24829,Masters,Humanities,1949
30488,Graduate,STEM,1070
1265,Graduate,STEM,1081
22098,Masters,STEM,1897
13342,Graduate,Other,1355
24608,Graduate,STEM,1026
20081,Graduate,STEM,1520
24796,Graduate,STEM,1310
7777,Masters,STEM,1657
22718,Graduate,No Major,1962
1261,Graduate,STEM,1430
3396,Graduate,STEM,1065
4283,High School,,1661
18998,High School,,1995
2003,High School,,1103
31786,Phd,STEM,1237
8241,,,1934
12154,Masters,Arts,1929
23455,Graduate,STEM,1532
19882,Graduate,STEM,1447
28817,Graduate,STEM,1893
4656,High School,,1450
7280,Graduate,STEM,1321
16903,Graduate,No Major,1589
13333,Graduate,STEM,1255
26241,Graduate,Other,1135
12381,Masters,STEM,1897
4064,Graduate,STEM,1565
32092,Masters,STEM,1354
3766,Graduate,STEM,1940
30496,Graduate,Arts,1754
7189,Graduate,STEM,1065
29497,Masters,STEM,1220
31593,Masters,STEM,1825
12384,,,1803
11986,Masters,STEM,1114
31033,High School,,1890
14835,High School,,1825
3728,Masters,STEM,1040
3024,Graduate,STEM,1854
23508,Masters,STEM,1315
29457,Masters,STEM,1934
12297,Graduate,STEM,1635
27708,Graduate,STEM,1764
3065,Graduate,STEM,1426
29226,High School,,1872
5493,Masters,STEM,1234
2891,Masters,STEM,1338
32509,Graduate,STEM,1329
31841,Graduate,STEM,1941
907,Graduate,STEM,1757
29526,Graduate,STEM,1039
10956,Graduate,STEM,1392
26099,Graduate,STEM,1919
26163,Masters,STEM,1194
4120,Masters,STEM,1218
7335,High School,,1948
706,Masters,STEM,1168
9890,Graduate,Humanities,1968
32683,Graduate,STEM,1547
27104,High School,,1684
7731,Graduate,STEM,1913
31943,Graduate,STEM,1212
22899,Masters,STEM,1463
33339,Graduate,STEM,1321
20866,Graduate,STEM,1953
21634,Graduate,STEM,1931
29529,Graduate,STEM,1040
4478,Graduate,STEM,1093
32095,Masters,Humanities,1900
18272,Graduate,Business Degree,1377
30098,Masters,Other,1683
23825,Graduate,STEM,1633
7672,Masters,STEM,1408
5633,Graduate,STEM,1140
30695,Graduate,STEM,1080
5573,Primary School,,1339
24936,Masters,STEM,1771
397,Graduate,STEM,1369
31602,Masters,STEM,1831
5278,,,1957
16814,Graduate,STEM,1673
19249,Graduate,STEM,1294
9475,Graduate,STEM,1308
4865,Phd,STEM,1134
20881,Masters,STEM,1846
21563,Masters,STEM,1680
25114,Masters,STEM,1347
26002,Graduate,STEM,1942
8528,Graduate,STEM,1898
6141,Graduate,STEM,1166
27667,Graduate,STEM,1556
2821,Masters,STEM,1934
21216,Graduate,STEM,1588
25495,Graduate,STEM,1471
20791,Graduate,STEM,1130
28015,Graduate,STEM,1106
10685,High School,,1353
405,Masters,STEM,1318
13891,Phd,STEM,1334
33050,Graduate,STEM,1280
399,Graduate,STEM,1045
8202,Graduate,STEM,1542
8751,Graduate,STEM,1962
20744,High School,,1768
25380,Masters,STEM,1383
24617,High School,,1256
12509,Graduate,STEM,1416
25473,High School,,1902
13083,Masters,STEM,1811
12454,Masters,STEM,1136
3500,High School,,1268
15922,Graduate,STEM,1920
6685,Graduate,STEM,1149
28838,Graduate,STEM,1874
24082,Masters,STEM,1552
24846,Graduate,STEM,1981
1020,Graduate,STEM,1580
6189,Graduate,Business Degree,1552
16994,High School,,1337
13135,Masters,STEM,1554
14578,Graduate,STEM,1331
20732,Graduate,STEM,1293
16496,Graduate,STEM,1546
16537,Masters,STEM,1249
17358,Masters,STEM,1615
21933,Graduate,STEM,1786
7342,Graduate,STEM,1385
5630,Graduate,STEM,1247
24152,Masters,STEM,1250
17762,High School,,1429
4310,Graduate,STEM,1207
5142,Primary School,,1810
22319,Graduate,STEM,1692
30912,Primary School,,1681
20976,Graduate,STEM,1089
13150,Phd,STEM,1027
12206,High School,,1087
9407,High School,,1893
13152,Graduate,STEM,1938
1069,Graduate,STEM,1871
25418,Graduate,STEM,1341
22689,Graduate,STEM,1295
5104,Masters,STEM,1467
13994,Graduate,STEM,1811
27064,Graduate,STEM,1159
14598,Graduate,STEM,1078
9571,Graduate,STEM,1944
30854,Graduate,STEM,1773
25290,High School,,1438
29640,Graduate,STEM,1470
17519,Graduate,STEM,1243
12111,Graduate,STEM,1943
6085,Graduate,STEM,1418
27277,Graduate,STEM,1518
31692,Graduate,STEM,1336
6052,Masters,STEM,1993
18161,Graduate,STEM,1487
12934,Graduate,STEM,1827
30400,Graduate,STEM,1057
26419,Graduate,STEM,1636
4188,Graduate,STEM,1640
12117,Graduate,STEM,1877
28847,Masters,STEM,1623
30472,,,1015
32534,Graduate,STEM,1128
22395,Masters,STEM,1644
4876,Masters,STEM,1178
25182,High School,,1324
26135,High School,,1978
7517,High School,,1162
2793,Graduate,STEM,1343
25174,Graduate,STEM,1247
5593,Graduate,STEM,1722
14003,Graduate,STEM,1365
33057,Graduate,STEM,1563
30484,Masters,STEM,1234
14688,Masters,STEM,1825
25459,Primary School,,1002
23657,Primary School,,1853
20322,Phd,STEM,1383
22194,Graduate,STEM,1047
31401,Masters,STEM,1680
14914,Masters,STEM,1423
20376,Graduate,STEM,1706
27530,Graduate,STEM,1184
24701,Graduate,STEM,1105
6790,Masters,STEM,1507
10102,Graduate,STEM,1867
10338,Masters,STEM,1443
15701,Graduate,STEM,1434
21218,Graduate,Humanities,1661
1586,High School,,1036
9189,High School,,1977
13788,,,1219
10752,Masters,STEM,1752
28406,Graduate,No Major,1385
26320,High School,,1966
17460,Graduate,STEM,1808
18657,Graduate,STEM,1799
9384,Masters,STEM,1892
4269,Graduate,STEM,1994
14935,High School,,1225
28033,Graduate,STEM,1876
1568,Graduate,STEM,1523
15465,High School,,1361
26233,Graduate,STEM,1511
24729,Graduate,STEM,1303
29440,Graduate,STEM,1583
32652,Masters,STEM,1415
28556,Primary School,,1173
12875,Masters,STEM,1426
21078,Graduate,STEM,1021
30331,Graduate,STEM,1935
5899,Primary School,,1957
22787,Graduate,STEM,1404
27435,Graduate,STEM,1706
2855,Masters,STEM,1104
18385,Masters,STEM,1391
27866,Graduate,STEM,1534
7328,Graduate,STEM,1276
24807,Graduate,STEM,1627
27113,Graduate,STEM,1631
6008,High School,,1815
760,Graduate,Humanities,1974
2990,Masters,STEM,1106
28229,Graduate,STEM,1993
4162,Graduate,STEM,1675
27326,High School,,1994
604,,,1863
2194,Graduate,STEM,1145
21564,Masters,STEM,1959
17432,Graduate,STEM,1249
13952,Masters,STEM,1052
1988,Graduate,STEM,1401
23691,Masters,STEM,1595
10481,Graduate,Business Degree,1170
8540,Graduate,STEM,1992
8806,Graduate,STEM,1680
15468,Masters,STEM,1598
32747,Graduate,No Major,1061
1297,Graduate,STEM,1403
4075,Graduate,STEM,1712
12772,Masters,STEM,1418
22517,Graduate,STEM,1796
26388,Masters,STEM,1383
30676,Masters,STEM,1804
18376,Graduate,STEM,1985
10970,Masters,STEM,1164
29961,Phd,STEM,1729
5136,Phd,Humanities,1013
20369,Graduate,STEM,1186
23505,Graduate,STEM,1947
11751,Graduate,STEM,1497
12038,Masters,,1882
28590,Masters,STEM,1920
32699,High School,,1899
10370,Masters,STEM,1459
4095,Masters,STEM,1006
5340,Graduate,Business Degree,1340
9217,Graduate,STEM,1182
15294,Graduate,STEM,1496
23901,,,1550
5673,Graduate,STEM,1340
25421,Graduate,STEM,1404
20698,Graduate,STEM,1804
41,High School,,1516
23636,Graduate,STEM,1889
9387,High School,,1389
21466,Graduate,STEM,1207
9515,Graduate,Other,1979
20743,Masters,STEM,1317
25766,Masters,STEM,1958
4626,High School,,1786
4642,Graduate,STEM,1748
16178,Graduate,STEM,1269
1829,Graduate,STEM,1513
2377,Phd,STEM,1513
8287,Graduate,STEM,1896
10529,Graduate,Arts,1600
30608,Graduate,STEM,1996
27546,Primary School,,1561
32324,Graduate,STEM,1387
8442,Graduate,STEM,1164
8151,Masters,STEM,1799
15796,Masters,STEM,1476
9420,,,1598
17083,Graduate,STEM,1078
16414,Graduate,STEM,1575
32340,Graduate,STEM,1489
18462,Masters,STEM,1878
7996,Graduate,STEM,1764
30636,Graduate,STEM,1486
29982,Masters,Humanities,1772
29217,Graduate,STEM,1405
18454,Graduate,STEM,1784
22508,Graduate,STEM,1324
25969,Graduate,STEM,1636
28080,Graduate,Arts,1505
21134,Graduate,STEM,1243
30925,Graduate,STEM,1098
29000,Masters,STEM,1243
26925,Graduate,STEM,1313
7696,Graduate,STEM,1338
25525,High School,,1174
21989,Graduate,STEM,1645
10984,Masters,Humanities,1089
26543,Graduate,STEM,1437
32043,Masters,STEM,1737
15343,Graduate,STEM,1639
30967,Graduate,STEM,1780
30191,Graduate,STEM,1932
13537,Graduate,STEM,1398
23185,Graduate,STEM,1179
1434,Graduate,STEM,1433
9600,Graduate,STEM,1993
25963,Graduate,STEM,1060
5141,Graduate,STEM,1868
657,Graduate,STEM,1898
29991,Graduate,Arts,1264
18759,Graduate,STEM,1732
23081,High School,,1359
5731,Graduate,STEM,1831
20135,Graduate,STEM,1487
18620,Graduate,STEM,1824
24226,Graduate,STEM,1305
10092,Graduate,STEM,1404
1950,Masters,STEM,1026
7909,Primary School,,1643
11966,Masters,Humanities,1914
10017,Masters,STEM,1268
28391,Graduate,STEM,1257
361,Graduate,STEM,1175
20797,Phd,STEM,1006
25041,Graduate,STEM,1268
18476,Masters,STEM,1841
26668,Masters,STEM,1996
18586,Masters,STEM,1961
17783,Graduate,STEM,1131
13256,Graduate,STEM,1970
6283,Graduate,Other,1093
2586,Masters,STEM,1856
15279,,,1816
28468,Masters,STEM,1766
17941,Masters,Business Degree,1682
23384,Graduate,STEM,1616
4978,Masters,STEM,1554
28641,Graduate,STEM,1164
28915,Graduate,STEM,1636
33367,Graduate,STEM,1007
14999,Masters,STEM,1618
3999,Masters,STEM,1753
9860,Graduate,No Major,1966
31153,Graduate,STEM,1881
26616,Graduate,STEM,1727
24366,Graduate,STEM,1277
19986,Graduate,STEM,1918
17786,,,1135
1396,Graduate,STEM,1625
22954,Graduate,STEM,1683
14775,High School,,1625
1563,Graduate,STEM,1493
29612,Graduate,STEM,1769
23856,Graduate,STEM,1912
30441,Graduate,Humanities,1957
22742,Graduate,STEM,1361
30265,High School,,1246
11545,Graduate,STEM,1863
2404,Graduate,STEM,1119
7243,High School,,1674
19555,Graduate,STEM,1024
20486,Graduate,STEM,1344
17400,Graduate,STEM,1823
22005,Graduate,STEM,1887
10612,Masters,STEM,1377
23365,Graduate,STEM,1108
13288,Graduate,STEM,1366
23430,Graduate,STEM,1984
30404,Graduate,STEM,1865
8930,Graduate,STEM,1525
3920,Graduate,STEM,1727
29841,High School,,1670
16289,Graduate,STEM,1571
19889,Graduate,STEM,1791
11780,Graduate,STEM,1891
8489,,,1706
32581,Graduate,STEM,1360
22420,Graduate,Humanities,1083
28415,Graduate,STEM,1981
32260,Graduate,STEM,1693
21603,Graduate,STEM,1848
19702,High School,,1486
17665,Graduate,STEM,1377
19612,Masters,STEM,1463
18905,Graduate,STEM,1391
824,Graduate,STEM,1083
27275,Graduate,STEM,1977
14217,Masters,STEM,1661
13209,,,1845
9414,Graduate,STEM,1090
33242,Graduate,STEM,1920
24224,Graduate,STEM,1004
9684,Masters,STEM,1091
8584,Phd,STEM,1534
27003,Masters,STEM,1593
17840,High School,,1180
29723,Graduate,STEM,1294
33181,Masters,STEM,1538
29288,Graduate,STEM,1511
3004,Masters,Humanities,1352
5828,Graduate,STEM,1668
22211,Graduate,Other,1922
28193,Graduate,STEM,1697
26291,Graduate,STEM,1732
11739,Graduate,STEM,1051
20878,Graduate,STEM,1516
31156,High School,,1532
21878,Graduate,Other,1760
7009,Graduate,STEM,1994
31013,Graduate,Humanities,1242
7145,Masters,STEM,1646
2690,Graduate,STEM,1026
28829,Graduate,STEM,1130
28477,Masters,STEM,1768
17107,Graduate,STEM,1308
17125,,,1151
5911,Graduate,STEM,1537
24069,Graduate,STEM,1311
20803,Masters,Other,1960
3752,Graduate,STEM,1530
32925,Masters,STEM,1496
27494,Masters,STEM,1905
19818,Graduate,STEM,1988
22581,High School,,1005
2629,Graduate,STEM,1487
20143,Masters,STEM,1350
2478,Graduate,STEM,1549
25957,Graduate,STEM,1248
24981,Graduate,STEM,1556
27624,Primary School,,1824
32355,Graduate,STEM,1304
12140,Masters,Humanities,1869
9743,Graduate,STEM,1178
3827,Masters,STEM,1094
9338,Graduate,STEM,1192
10386,Graduate,STEM,1072
14901,Masters,STEM,1595
6909,Masters,STEM,1134
20751,Graduate,STEM,1981
13597,Masters,STEM,1933
4498,Graduate,STEM,1158
29508,Masters,STEM,1928
5205,Graduate,STEM,1147
32947,Graduate,STEM,1266
4766,High School,,1624
428,Graduate,STEM,1198
16219,Graduate,STEM,1843
21843,Graduate,STEM,1372
17162,Graduate,STEM,1484
15259,Graduate,STEM,1816
14487,Graduate,Other,1064
8055,Graduate,STEM,1893
4922,Primary School,,1346
20653,Graduate,STEM,1691
707,Graduate,STEM,1891
1131,Graduate,STEM,1388
22219,Graduate,STEM,1120
10454,Graduate,Humanities,1010
14740,Masters,STEM,1619
12183,Graduate,STEM,1267
22052,Masters,STEM,1247
8677,High School,,1782
29432,Graduate,STEM,1897
6812,Graduate,STEM,1141
14890,Masters,Business Degree,1509
9569,Graduate,STEM,1810
6389,Masters,Humanities,1510
14622,Masters,STEM,1733
24586,Masters,STEM,1995
9463,Graduate,Humanities,1339
6379,Masters,STEM,1291
30514,Graduate,STEM,1018
12349,Graduate,STEM,1678
6995,High School,,1862
13311,Graduate,STEM,1747
26275,Masters,Humanities,1345
30814,Graduate,Other,1649
20823,Masters,STEM,1766
18810,High School,,1384
79,Graduate,STEM,1932
16177,Graduate,STEM,1482
16141,Graduate,STEM,1765
5417,Graduate,STEM,1379
24280,Graduate,STEM,1261
9393,High School,,1393
22112,Graduate,STEM,1373
11003,Masters,STEM,1206
12631,Graduate,STEM,1577
6326,Graduate,STEM,1812
24870,Masters,STEM,1973
18170,Graduate,STEM,1072
33254,Masters,STEM,1922
11821,Graduate,STEM,1754
24937,Graduate,STEM,1386
15837,Graduate,Other,1496
31083,Masters,STEM,1858
15436,Graduate,STEM,1889
13102,Masters,STEM,1263
30277,Masters,STEM,1214
4475,Masters,STEM,1327
4072,Graduate,Humanities,1549
11085,Graduate,No Major,1987
3878,Masters,STEM,1630
33104,Graduate,STEM,1900
17304,Masters,STEM,1976
23719,Graduate,STEM,1262
22348,Graduate,STEM,1423
18320,Graduate,STEM,1970
27959,Graduate,STEM,1017
11655,Masters,STEM,1019
26713,Graduate,STEM,1524
3248,High School,,1373
32877,Graduate,STEM,1112
25363,Graduate,STEM,1789
22573,Graduate,STEM,1660
440,Masters,STEM,1262
27697,Masters,STEM,1866
10792,Graduate,STEM,1221
30509,Graduate,Other,1792
28149,Graduate,STEM,1027
24708,Masters,STEM,1716
32836,,,1017
16372,Masters,STEM,1325
33292,Graduate,STEM,1499
32619,Graduate,Humanities,1203
29606,High School,,1127
11430,Primary School,,1696
10967,Masters,STEM,1669
17375,Graduate,STEM,1149
26025,Graduate,STEM,1712
19795,Graduate,STEM,1004
10554,Graduate,STEM,1694
8311,Masters,STEM,1577
5801,High School,,1021
6010,Graduate,STEM,1678
31210,Graduate,STEM,1994
24714,Graduate,Other,1602
5203,Graduate,STEM,1048
7193,High School,,1792
1695,Graduate,STEM,1842
16625,Masters,STEM,1597
23714,Graduate,STEM,1547
21967,Masters,STEM,1507
33342,High School,,1982
29737,Graduate,STEM,1885
9846,Graduate,STEM,1747
3965,Graduate,STEM,1332
15430,Graduate,Business Degree,1423
20911,Graduate,STEM,1864
6724,Graduate,STEM,1891
21442,Graduate,STEM,1312
12716,Masters,Humanities,1784
18,Graduate,STEM,1978
26402,Graduate,STEM,1568
26214,Masters,Humanities,1993
21033,Masters,STEM,1227
19073,Graduate,STEM,1163
6775,High School,,1628
26126,Graduate,Humanities,1066
28673,Graduate,STEM,1309
15012,Graduate,STEM,1443
10930,,,1374
7610,Graduate,Business Degree,1835
12931,Graduate,STEM,1807
6502,Graduate,STEM,1176
29945,Graduate,STEM,1640
14523,Graduate,STEM,1277
15470,Graduate,STEM,1933
2485,Masters,STEM,1029
24355,Phd,STEM,1296
6407,High School,,1296
14425,Graduate,STEM,1124
20116,Graduate,STEM,1142
27786,High School,,1717
15868,Graduate,STEM,1937
26755,High School,,1036
10285,Graduate,STEM,1093
18289,Masters,STEM,1746
13687,High School,,1724
27535,High School,,1204
25850,Graduate,STEM,1234
12830,Graduate,STEM,1730
17967,Graduate,STEM,1009
12217,Graduate,STEM,1302
19215,Graduate,Humanities,1659
27139,Graduate,STEM,1280
32862,High School,,1200
24887,High School,,1882
19378,Graduate,STEM,1588
29769,High School,,1496
18907,Graduate,Business Degree,1990
23572,Phd,STEM,1973
7991,Graduate,STEM,1230
6448,Graduate,STEM,1561
30878,Graduate,STEM,1286
4606,High School,,1932
4367,Graduate,STEM,1229
27114,High School,,1724
8023,Masters,STEM,1329
3708,Graduate,STEM,1506
25403,Graduate,Humanities,1693
20140,Graduate,STEM,1944
26455,Graduate,STEM,1631
19618,High School,,1159
18497,High School,,1356
31798,Graduate,STEM,1660
30076,High School,,1748
32953,,,1306
4302,Graduate,STEM,1917
4980,Masters,STEM,1407
7951,Graduate,No Major,1566
15106,Graduate,STEM,1277
15211,Graduate,STEM,1711
4635,,,1322
17529,Graduate,STEM,1734
8852,Graduate,Business Degree,1504
1794,Graduate,STEM,1891
13720,High School,,1861
11292,Graduate,STEM,1133
24062,Graduate,STEM,1622
33188,Masters,STEM,1015
22896,Graduate,STEM,1443
17781,Graduate,STEM,1751
10602,Masters,STEM,1946
28433,Graduate,Business Degree,1498
27490,Graduate,STEM,1080
31489,Masters,STEM,1175
15297,,,1031
21585,Graduate,Other,1668
11651,High School,,1507
26674,Graduate,STEM,1948
13870,High School,,1848
24222,Phd,STEM,1279
24054,Graduate,STEM,1744
15241,Graduate,Other,1425
14204,Graduate,STEM,1445
18130,Masters,Humanities,1218
28603,Graduate,STEM,1502
23984,High School,,1408
26129,Masters,STEM,1806
16438,Phd,STEM,1774
18892,Masters,STEM,1378
3498,Graduate,STEM,1731
32720,Masters,STEM,1061
4828,Masters,STEM,1297
29201,Graduate,STEM,1281
33126,Graduate,STEM,1214
11950,Masters,STEM,1096
24127,Masters,STEM,1298
13149,,,1158
23157,Graduate,STEM,1846
18791,Graduate,STEM,1086
2181,Masters,STEM,1007
23931,Primary School,,1636
16466,Masters,STEM,1868
33358,Masters,STEM,1472
17268,Graduate,STEM,1245
31935,Masters,STEM,1864
24091,Masters,STEM,1429
6060,Phd,STEM,1424
9337,Graduate,STEM,1974
15998,,,1499
21129,Masters,STEM,1856
3223,Graduate,STEM,1879
28211,Graduate,Humanities,1266
18999,Graduate,STEM,1466
21176,Graduate,STEM,1174
32958,Graduate,STEM,1851
23835,Graduate,No Major,1554
25327,Graduate,STEM,1858
27678,Graduate,STEM,1384
23741,Graduate,STEM,1796
28820,Masters,STEM,1922
17500,Graduate,STEM,1105
14295,Primary School,,1231
32617,Graduate,STEM,1504
893,High School,,1898
17725,Masters,STEM,1305
28991,Graduate,STEM,1580
10175,Graduate,STEM,1133
1783,Masters,STEM,1660
14496,Masters,STEM,1480
9147,Graduate,STEM,1321
17370,Graduate,STEM,1741
22997,Masters,STEM,1855
31011,Graduate,STEM,1316
20828,Graduate,STEM,1686
2991,Graduate,STEM,1889
30340,Graduate,STEM,1204
7160,High School,,1875
9448,Graduate,STEM,1202
12062,Graduate,STEM,1695
18498,Graduate,STEM,1945
9485,Masters,STEM,1660
25817,Graduate,STEM,1038
25834,Primary School,,1990
22816,Masters,Arts,1714
27753,Graduate,STEM,1353
15597,Graduate,STEM,1417
23247,Graduate,STEM,1087
4124,High School,,1855
9598,Graduate,STEM,1558
19454,Graduate,STEM,1856
14642,Graduate,STEM,1032
3438,Graduate,STEM,1315
12474,Masters,Other,1847
10669,Graduate,STEM,1456
23609,Graduate,STEM,1113
32614,Graduate,STEM,1203
4568,Graduate,STEM,1472
12469,Primary School,,1142
13864,Graduate,STEM,1828
365,Masters,STEM,1828
6525,Graduate,STEM,1179
26682,Graduate,STEM,1764
19560,Graduate,STEM,1470
33255,Graduate,STEM,1521
32882,High School,,1651
21225,Graduate,STEM,1209
18441,Graduate,STEM,1995
33049,Graduate,STEM,1821
7710,Masters,STEM,1237
11323,Masters,STEM,1245
32733,Graduate,STEM,1846
25690,Graduate,STEM,1700
12503,High School,,1821
12310,Graduate,Humanities,1635
15250,Masters,STEM,1983
13277,Graduate,STEM,1305
30041,High School,,1826
22238,Graduate,STEM,1171
9180,Masters,STEM,1424
2015,Graduate,STEM,1351
3758,Graduate,STEM,1637
31014,Graduate,STEM,1674
2311,Graduate,STEM,1265
16796,Graduate,STEM,1699
26094,Graduate,STEM,1942
13138,Masters,STEM,1669
32165,Graduate,STEM,1238
13547,Graduate,No Major,1824
10756,Graduate,STEM,1785
13583,High School,,1411
23623,Phd,STEM,1618
9001,Graduate,STEM,1888
16787,Masters,STEM,1482
5775,Graduate,STEM,1171
20785,High School,,1425
28699,,,1833
24337,Graduate,STEM,1851
22966,Graduate,STEM,1187
3133,Graduate,STEM,1683
32482,Graduate,STEM,1483
29879,Phd,STEM,1631
10209,Graduate,STEM,1520
1926,Masters,STEM,1709
28490,Graduate,STEM,1937
8093,Graduate,STEM,1358
7452,High School,,1096
17465,Graduate,STEM,1258
30817,High School,,1632
23295,Masters,STEM,1435
12104,Graduate,STEM,1611
5989,Primary School,,1666
11542,Graduate,STEM,1332
30339,Graduate,Business Degree,1572
11696,Masters,STEM,1575
6449,Graduate,STEM,1996
18824,Masters,Other,1971
23056,Graduate,STEM,1324
299,Graduate,STEM,1750
26304,Graduate,No Major,1606
31586,Graduate,STEM,1676
28453,Masters,STEM,1974
18859,High School,,1376
23001,Masters,STEM,1477
16784,Masters,STEM,1575
22595,Primary School,,1566
730,High School,,1127
12757,Graduate,STEM,1116
32758,Graduate,STEM,1934
5306,,,1529
23328,Graduate,STEM,1458
28336,Graduate,STEM,1813
6304,Graduate,STEM,1997
32427,Phd,STEM,1935
31368,Graduate,STEM,1072
13273,Graduate,Humanities,1598
31023,Graduate,STEM,1447
16948,,,1117
1161,Graduate,STEM,1581
27629,Graduate,STEM,1254
21443,Graduate,STEM,1741
13383,Masters,STEM,1068
10293,,,1997
11265,Graduate,STEM,1365
1973,Graduate,STEM,1717
14800,High School,,1761
32820,Masters,STEM,1642
30794,Masters,STEM,1475
32341,Graduate,STEM,1778
9499,Graduate,Humanities,1290
23511,Graduate,STEM,1189
20167,Graduate,STEM,1098
16791,Graduate,STEM,1612
22494,Graduate,STEM,1541
31405,Graduate,STEM,1026
29916,Graduate,STEM,1481
12101,Graduate,STEM,1943
12770,Graduate,STEM,1890
22723,High School,,1865
6025,Graduate,STEM,1755
21276,Graduate,STEM,1976
1943,Graduate,STEM,1308
26974,High School,,1527
30205,Masters,STEM,1336
10668,High School,,1314
7515,Phd,STEM,1119
27419,Graduate,STEM,1147
1102,Phd,STEM,1222
23981,Phd,Humanities,1866
6277,Masters,Arts,1581
13345,Phd,STEM,1603
23325,Masters,STEM,1137
31769,Masters,STEM,1919
18478,Graduate,STEM,1400
20302,Graduate,STEM,1859
16067,Graduate,STEM,1294
6426,Graduate,STEM,1879
1343,High School,,1266
28531,Masters,Other,1014
13173,Graduate,STEM,1950
12256,Graduate,STEM,1370
7612,High School,,1517
28866,Graduate,STEM,1327
33128,Masters,STEM,1787
20747,Masters,STEM,1306
10240,Masters,STEM,1060
15160,Masters,STEM,1127
12284,Graduate,STEM,1620
25888,High School,,1273
1427,Graduate,STEM,1773
22403,Graduate,STEM,1570
21667,Masters,STEM,1857
25916,Graduate,STEM,1070
12121,High School,,1682
28320,Graduate,STEM,1412
14522,Graduate,STEM,1673
28500,Graduate,STEM,1510
